Name,Type,Country
75 mm Mod 37  ,Field Gun  ,Italy  
75 mm Mod 38  ,Anti-Aircraft Gun  ,Italy  
75 mm Schneider-Danglis 06/09  ,Field Gun  ,Greece  
76 mm Divisional Gun M1936 (F-22)  ,Field Gun  ,Russia  
76 mm Divisional Gun M1939 (F-22 USV)  ,Field Gun  ,Russia  
76 mm Divisional Gun M1942 (ZiS-3)  ,Field Gun  ,Russia  
76 mm M1938  ,Anti-Aircraft Gun  ,Russia  
76 mm Regimental Gun M1927  ,Field Gun  ,Russia  
8 cm Granatwerfer 34  ,Launcher  ,Germany  
8 cm Panzerabwehrwerfer 600  ,Anti-Tank Gun  ,Germany  
8 in Mk VI  ,Coastal Defense Gun  ,United States  
8 inch Gun M1  ,Field Gun  ,United States  
8 inch Howitzer M1  ,Field Gun  ,United States  
8.8 cm FlaK 18/36/37  ,Anti-Aircraft Gun  ,Germany  
8.8 cm FlaK 41  ,Anti-Aircraft Gun  ,Germany  
8.8 cm PaK 43  ,Anti-Tank Gun  ,Germany  
80 cm Gustav  ,Railway Gun  ,Germany  
80 mm Mod 99  ,Anti-Aircraft Gun  ,Japan  
82-BM-37  ,Launcher  ,Russia  
82-PM-41  ,Launcher  ,Russia  
85 mm M1939 (52-K)  ,Anti-Aircraft Gun  ,Russia  
85 mm M1944 (KS-18)  ,Anti-Aircraft Gun  ,Russia  
90 mm M2  ,Anti-Aircraft Gun  ,United States  
95 mm Mk 1  ,Recoilless Gun  ,United Kingdom  
Anderson Shelter  ,Air Raid Shelter  ,United Kingdom  
Arisaka Type 38  ,Rifle  ,Japan  
Arisaka Type 44  ,Rifle  ,Japan  
Arisaka Type 99  ,Rifle  ,Japan  
Army M1943  ,Uniform  ,United States  
Austen  ,Submachine Gun  ,Australia  
BC-41  ,Blade  ,United Kingdom  
Beretta M1918  ,Submachine Gun  ,Italy  
Beretta M1934  ,Handgun  ,Italy  
Beretta M1935  ,Handgun  ,Italy  
Beretta M1938  ,Submachine Gun  ,Italy  
Berthier  ,Rifle  ,France  
BL 15 in Mk I  ,Coastal Defense Gun  ,United Kingdom  
BL 4.5 inch Medium  ,Field Gun  ,United Kingdom  
BL 9.2 inch Mk X  ,Coastal Defense Gun  ,United Kingdom  
Blyskawica  ,Submachine Gun  ,Poland  
Bodeo M1889  ,Handgun  ,Italy  
Boys  ,Anti-Tank Rifle  ,United Kingdom  
Breda Model 30  ,Machine Gun  ,Italy  
Breda Model 35  ,Anti-Aircraft Gun  ,Italy  
Breda Model 35  ,Grenade  ,Italy  
Breda Model 37  ,Machine Gun  ,Italy  
Bren  ,Machine Gun  ,United Kingdom  
Brixia Model 35  ,Launcher  ,Italy  
Browning Automatic Rifle M1918 'BAR'  ,Machine Gun  ,United States  
Browning Hi-Power  ,Handgun  ,Belgium  
Browning M1917  ,Machine Gun  ,United States  
Browning M1919  ,Machine Gun  ,United States  
Browning M2  ,Machine Gun  ,United States  
Cannone da 149/35 A  ,Field Gun  ,Italy  
Cannone da 149/40  ,Field Gun  ,Italy  
Cannone da 75/46  ,Anti-Aircraft Gun  ,Italy  
Cannone da 90/53  ,Anti-Aircraft Gun  ,Italy  
Canon de 105 modèle 1930 Schneider  ,Field Gun  ,France  
Canon de 155 C modèle 1917 Schneider  ,Field Gun  ,France  
Canon de 75 CA modèle 1940 Schneider  ,Anti-Aircraft Gun  ,France  
Canon de 75 M modèle 1919 Schneider  ,Field Gun  ,France  
Canon de 75 M modèle 1928  ,Field Gun  ,France  
Canon de 75 modèle 1897  ,Field Gun  ,France  
Canon de 85 modèle 1927 Schneider  ,Field Gun  ,France  
Carcano M1891  ,Rifle  ,Italy  
Carcano M1938  ,Rifle  ,Italy  
Colt M1911A1  ,Handgun  ,United States  
Colt M1917  ,Handgun  ,United States  
CZ vzor 38  ,Handgun  ,Czechoslovakia  
Danuvia 39M  ,Submachine Gun  ,Hungary  
De Lisle Carbine  ,Rifle  ,United Kingdom  
Degtyaryov Pekhotny 'DP'  ,Machine Gun  ,Russia  
Degtyaryov PTRD-41  ,Anti-Tank Rifle  ,Russia  
DShK M1938  ,Machine Gun  ,Russia  
Ehrhardt 7.5 cm Model 1901  ,Field Gun  ,Norway  
EMP  ,Submachine Gun  ,Germany  
Enfield No. 2  ,Handgun  ,United Kingdom  
F1  ,Grenade  ,Russia  
Fairbairn-Sykes  ,Blade  ,United Kingdom  
FG 42  ,Rifle  ,Germany  
Fiat-Revelli M1935  ,Machine Gun  ,Italy  
FM 24/29  ,Machine Gun  ,France  
FN M1910  ,Handgun  ,Belgium  
FNAB-43  ,Submachine Gun  ,Italy  
Gewehr 41  ,Rifle  ,Germany  
Gewehr 43  ,Rifle  ,Germany  
Gewehr 98  ,Rifle  ,Germany  
Gilsenti M1910  ,Handgun  ,Italy  
Glisenti M1910  ,Handgun  ,Italy  
Hafthohlladung  ,Grenade  ,Germany  
Hanyang Type 88  ,Rifle  ,China  
Hitler Youth Knife  ,Blade  ,Germany  
Hotchkiss 13.2 mm  ,Machine Gun  ,France  
Johnson M1941  ,Rifle  ,United States  
Johnson  ,Machine Gun  ,United States  
K4  ,Field Gun  ,Czechoslovakia  
Kampfmesser 42  ,Blade  ,Germany  
Karabin przeciwpancerny wzór 35  ,Anti-Tank Rifle  ,Poland  
KE-7  ,Machine Gun  ,Switzerland  
